"country_code","country_name","continent","population_2010","population_2011","population_2012","population_2013","population_2014","population_2015","population_2016","population_2017","population_2018","population_2019","deathrate_2010","deathrate_2011","deathrate_2012","deathrate_2013","deathrate_2014","deathrate_2015","deathrate_2016","deathrate_2017","deathrate_2018","deathrate_2019","GDP(US$)_2010","GDP(US$)_2011","GDP(US$)_2012","GDP(US$)_2013","GDP(US$)_2014","GDP(US$)_2015","GDP(US$)_2016","GDP(US$)_2017","GDP(US$)_2018","GDP(US$)_2019","active_HIV_cases_children_2010","active_HIV_cases_children_2011","active_HIV_cases_children_2012","active_HIV_cases_children_2013","active_HIV_cases_children_2014","active_HIV_cases_children_2015","active_HIV_cases_children_2016","active_HIV_cases_children_2017","active_HIV_cases_children_2018","active_HIV_cases_male_adults_2010","active_HIV_cases_male_adults_2011","active_HIV_cases_male_adults_2012","active_HIV_cases_male_adults_2013","active_HIV_cases_male_adults_2014","active_HIV_cases_male_adults_2015","active_HIV_cases_male_adults_2016","active_HIV_cases_male_adults_2017","active_HIV_cases_male_adults_2018","active_HIV_cases_female_adults_2010","active_HIV_cases_female_adults_2011","active_HIV_cases_female_adults_2012","active_HIV_cases_female_adults_2013","active_HIV_cases_female_adults_2014","active_HIV_cases_female_adults_2015","active_HIV_cases_female_adults_2016","active_HIV_cases_female_adults_2017","active_HIV_cases_female_adults_2018","aids_deaths_children_2010","aids_deaths_children_2011","aids_deaths_children_2012","aids_deaths_children_2013","aids_deaths_children_2014","aids_deaths_children_2015","aids_deaths_children_2016","aids_deaths_children_2017","aids_deaths_children_2018","aids_deaths_male_adults_2010","aids_deaths_male_adults_2011","aids_deaths_male_adults_2012","aids_deaths_male_adults_2013","aids_deaths_male_adults_2014","aids_deaths_male_adults_2015","aids_deaths_male_adults_2016","aids_deaths_male_adults_2017","aids_deaths_male_adults_2018","aids_deaths_female_adults_2010","aids_deaths_female_adults_2011","aids_deaths_female_adults_2012","aids_deaths_female_adults_2013","aids_deaths_female_adults_2014","aids_deaths_female_adults_2015","aids_deaths_female_adults_2016","aids_deaths_female_adults_2017","aids_deaths_female_adults_2018"
"AFG","Afghanistan","Asia",29185507,30117413,31161376,32269589,33370794,34413603,35383128,36296400,37172386,NA,8.25,7.936,7.645,7.38,7.141,6.929,6.742,6.575,NA,NA,543.303041863931,591.16234645088,641.872033785411,637.16504385598,613.856332882312,578.466352941708,547.228110150363,556.302138508508,520.896602719135,NA,1200,1200,1300,1400,1500,1600,1800,1900,2000,2800,3000,3300,3500,3800,4000,4300,4600,4900,1200,1200,1300,1400,1500,1600,1800,1900,2000,100,100,100,100,100,100,100,100,100,200,200,200,200,200,200,500,500,500,100,100,100,100,100,100,100,100,100
"ALB","Albania","Europe",2913021,2905195,2900401,2895092,2889104,2880703,2876101,2873457,2866376,NA,6.841,6.915,6.996,7.096,7.219,7.367,7.534,7.714,NA,NA,4094.36211924475,4437.17806741261,4247.61427862374,4413.0817427964,4578.66672031333,3952.82945832578,4124.10890718622,4532.89016212124,5268.84850355919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DZA","Algeria","Africa",35977455,36661444,37383887,38140132,38923687,39728025,40551404,41389198,42228429,NA,4.656,4.67,4.685,4.699,4.709,4.715,4.717,4.717,NA,NA,4480.72453900113,5455.74133764262,5592.32609806051,5499.58148704572,5493.02558996263,4177.86751715913,3946.4214445883,4044.29837226523,4114.71506136896,NA,2900,3400,3800,4400,4900,5400,6000,6500,7000,4000,4400,4900,5500,6100,6600,7200,7700,8300,2900,3400,3800,4400,4900,5400,6000,6500,7000,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"ASM","American Samoa","Oceania",56079,55759,55667,55713,55791,55812,55741,55620,55465,NA,NA,NA,NA,NA,4.2,NA,NA,NA,NA,NA,10271.2245225485,10294.3022651052,11568.7930012395,11505.3937142139,11507.2323493037,11843.3311832581,11696.9555623329,10823.4448040273,11466.6907058505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AND","Andorra","Europe",84449,83747,82427,80774,79213,78011,77297,77001,77006,NA,2.8,NA,3.9,NA,NA,NA,4.3,NA,NA,NA,39736.3540626699,41100.7299382214,38392.9439012206,40626.7516320228,42300.3341276669,36039.6534962289,37224.1089162924,39134.3933706717,42029.7627372989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AGO","Angola","Africa",23356246,24220661,25107931,26015780,26941779,27884381,28842484,29816748,30809762,NA,11.68,11.039,10.451,9.921,9.454,9.052,8.716,8.432,NA,NA,3587.88379824396,4615.46802807906,5100.09580809767,5254.88233799616,5408.41049555432,4166.97968386501,3506.07288506966,4095.81294155857,3432.38573600893,NA,130000,140000,150000,160000,170000,180000,190000,2e+05,2e+05,59000,63000,68000,72000,76000,80000,84000,88000,92000,130000,140000,150000,160000,170000,180000,190000,2e+05,2e+05,4100,4300,4500,4600,4400,4400,4500,4700,4900,1800,1900,2000,2100,2200,2200,2200,2400,2500,4200,4400,4800,4900,3900,3500,3700,4800,6100
"ATG","Antigua and Barbuda","Americas",88028,89253,90409,91516,92562,93566,94527,95426,96286,NA,6.055,6.085,6.116,6.151,6.188,6.227,6.27,6.316,NA,NA,13049.2570545735,12746.2050243357,13272.4413293826,12909.7441775006,13501.5809223367,14286.0931598293,15197.6174551735,15383.4151884998,16726.9808079479,NA,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,1000,1000,500,500,500,500,500,500,500,500,500,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"ARG","Argentina","Americas",40788453,41261490,41733271,42202935,42669500,43131966,43590368,44044811,44494502,NA,7.708,7.694,7.68,7.665,7.651,7.638,7.626,7.616,NA,NA,10385.9644319555,12848.8641969705,13082.664325572,13080.2547323367,12334.7982453893,13789.060424772,12790.2424732447,14591.8633810541,11683.9496216363,NA,33000,34000,36000,37000,39000,40000,42000,43000,45000,71000,74000,77000,80000,83000,85000,88000,91000,93000,33000,34000,36000,37000,39000,40000,42000,43000,45000,100,100,100,100,100,100,100,100,100,1200,1200,1200,1100,1200,1200,1300,1300,1300,500,500,500,500,500,500,500,500,500
"ARM","Armenia","Asia",2877319,2876538,2884229,2897584,2912403,2925553,2936146,2944809,2951776,NA,9.739,9.753,9.761,9.774,9.796,9.823,9.849,9.862,NA,NA,3218.37270660563,3525.80474671153,3681.8574560431,3838.18580148382,3986.23162376713,3607.29669672271,3591.82927553023,3914.5012684128,4212.07094272937,NA,1100,1100,1100,1100,1100,1100,1200,1200,1200,2200,2200,2200,2200,2200,2200,2200,2300,2300,1100,1100,1100,1100,1100,1100,1200,1200,1200,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"ABW","Aruba","Americas",101669,102046,102560,103159,103774,104341,104872,105366,105845,NA,7.918,8.061,8.205,8.347,8.488,8.627,8.765,8.907,NA,NA,23512.6025956397,24985.9932813737,24713.6980451285,25025.0995629083,25533.5697803984,25796.3802506382,25239.6004109932,25630.2664922069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS","Australia","Oceania",22031750,22340024,22733465,23128129,23475686,23815995,24190907,24601860,24992369,NA,6.5,6.6,6.6,6.4,6.6,6.6,6.6,6.5,NA,NA,52022.1255961876,62517.8337471503,68012.1479005934,68150.1070413215,62510.7911705641,56755.7217124249,49971.131456129,54066.4712686117,57373.6866841281,NA,2300,2400,2500,2600,2800,2900,3000,3200,3300,18000,19000,20000,21000,21000,22000,23000,24000,24000,2300,2400,2500,2600,2800,2900,3000,3200,3300,100,100,100,100,100,100,100,100,100,200,200,200,200,200,200,200,200,200,100,100,100,100,100,100,100,100,100
"AUT","Austria","Europe",8363404,8391643,8429991,8479823,8546356,8642699,8736668,8797566,8847037,NA,9.2,9.1,9.4,9.4,9.2,9.6,9.2,9.5,NA,NA,46858.0432733717,51374.9584066934,48567.69528642,50716.7087062864,51717.4959405515,44178.0473777432,45237.8050921543,47431.630607607,51461.9547804677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AZE","Azerbaijan","Asia",9054332,9173082,9295784,9416801,9535079,9649341,9757812,9854033,9942334,NA,5.9,5.9,5.9,5.8,5.8,5.7,5.8,5.8,NA,NA,5842.80578358576,7189.69122920765,7496.29464768263,7875.75695254288,7891.31314749986,5500.32049702735,3880.73873089556,4147.08971569171,4721.17808673142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BHS","Bahamas, The","Americas",354942,359577,363584,367168,370633,374206,377931,381761,385640,NA,6.566,6.606,6.634,6.651,6.661,6.671,6.689,6.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BHR","Bahrain","Asia",1240860,1278151,1299943,1315029,1336075,1371851,1425791,1494074,1569439,NA,2.327,2.324,2.326,2.331,2.337,2.346,2.355,2.368,NA,NA,20722.1372891348,22514.2587537979,23654.371850445,24744.3576319157,24989.3802145933,22688.9637865734,22619.1166718849,23715.4827473156,24050.7575053956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BGD","Bangladesh","Asia",147575430,149273778,151007807,152764676,154520167,156256276,157970840,159670593,161356039,NA,5.734,5.673,5.625,5.589,5.565,5.549,5.539,5.533,NA,NA,781.153593557047,861.758444349051,883.105000541313,981.839879150399,1118.8536634927,1248.45339778371,1401.62062821515,1563.99408178663,1698.26280233547,NA,2600,2900,3200,3400,3700,4000,4200,4500,4800,4800,5200,5500,6000,6400,7000,7500,8100,8700,2600,2900,3200,3400,3700,4000,4200,4500,4800,100,100,100,100,100,100,100,100,100,200,500,500,500,500,500,500,500,500,100,100,200,200,200,200,200,200,500
"BRB","Barbados","Americas",282131,282987,283700,284296,284825,285324,285796,286233,286641,NA,8.368,8.454,8.54,8.625,8.708,8.789,8.865,8.936,NA,NA,16056.1168393406,16459.0580132656,16249.8977793444,16452.0369614768,16488.5257614325,16561.8735192273,16936.9060448712,17431.6029248899,17949.2815054371,NA,1000,1000,1000,1000,1000,1000,1000,1000,1000,1600,1700,1700,1800,1800,1900,1900,1900,2000,1000,1000,1000,1000,1000,1000,1000,1000,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
