Country,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper
Afghanistan,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<1000 ,<500 , 1100,<1000 ,<500 , 1200,<1000 ,<500 , 1300,<1000 ,<500 , 1300,<1000 ,<1000 , 1400,<1000 ,<1000 , 1500,1000 ,<1000 , 1600,1100 ,<1000 , 1600,1200 ,<1000 , 1700,1200 ,<1000 , 1800,1300 ,<1000 , 1900,1400 ,<1000 , 2100,1500 ,<1000 , 2200,1600 ,<1000 , 2400,1800 ,1000 , 2700,1900 ,1100 , 2900,2000 ,1100 , 3100
Albania,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Algeria,<100 ,<100 , <100,<100 ,<100 , <100,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , 1100,1200 ,1100 , 1300,1400 ,1300 , 1500,1600 ,1500 , 1800,1900 ,1800 , 2000,2200 ,2000 , 2300,2500 ,2400 , 2700,2900 ,2700 , 3100,3400 ,3200 , 3600,3800 ,3600 , 4100,4400 ,4100 , 4600,4900 ,4600 , 5200,5400 ,5100 , 5800,6000 ,5600 , 6400,6500 ,6100 , 6900,7000 ,6500 , 7400
Angola,7400 ,4800 , 11 000,9700 ,6500 , 14 000,12 000 ,8700 , 18 000,16 000 ,11 000 , 22 000,20 000 ,14 000 , 26 000,24 000 ,18 000 , 31 000,29 000 ,22 000 , 36 000,34 000 ,27 000 , 42 000,39 000 ,32 000 , 48 000,46 000 ,38 000 , 56 000,52 000 ,43 000 , 63 000,59 000 ,49 000 , 70 000,66 000 ,56 000 , 78 000,74 000 ,62 000 , 86 000,81 000 ,68 000 , 94 000,89 000 ,74 000 , 100 000,97 000 ,80 000 , 110 000,110 000 ,87 000 , 120 000,110 000 ,94 000 , 130 000,120 000 ,100 000 , 140 000,130 000 ,110 000 , 150 000,140 000 ,120 000 , 160 000,150 000 ,130 000 , 170 000,160 000 ,140 000 , 180 000,170 000 ,140 000 , 190 000,180 000 ,150 000 , 210 000,190 000 ,160 000 , 220 000,200 000 ,170 000 , 230 000,200 000 ,180 000 , 240 000
Antigua and Barbuda,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<200 ,<100 , <200,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <500,<200 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500
Argentina,5500 ,5000 , 5900,6900 ,6300 , 7500,8400 ,7700 , 9100,9900 ,9100 , 11 000,11 000 ,10 000 , 12 000,13 000 ,12 000 , 14 000,14 000 ,13 000 , 15 000,15 000 ,14 000 , 17 000,16 000 ,15 000 , 18 000,18 000 ,16 000 , 20 000,19 000 ,17 000 , 21 000,20 000 ,18 000 , 22 000,22 000 ,20 000 , 24 000,23 000 ,21 000 , 25 000,24 000 ,22 000 , 27 000,26 000 ,23 000 , 28 000,27 000 ,25 000 , 30 000,28 000 ,26 000 , 31 000,30 000 ,27 000 , 33 000,31 000 ,28 000 , 34 000,33 000 ,30 000 , 36 000,34 000 ,31 000 , 37 000,36 000 ,33 000 , 39 000,37 000 ,34 000 , 40 000,39 000 ,35 000 , 42 000,40 000 ,37 000 , 44 000,42 000 ,38 000 , 45 000,43 000 ,40 000 , 47 000,45 000 ,41 000 , 48 000
Armenia,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<100 ,<100 , <500,<200 ,<100 , <500,<500 ,<200 , <500,<500 ,<200 , <1000,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<1000 , 1100,<1000 ,<1000 , 1200,<1000 ,<1000 , 1300,1100 ,<1000 , 1300,1100 ,<1000 , 1400,1100 ,<1000 , 1400,1100 ,<1000 , 1400,1100 ,<1000 , 1400,1100 ,<1000 , 1300,1100 ,<1000 , 1300,1100 ,<1000 , 1300,1100 ,<1000 , 1400,1200 ,<1000 , 1400,1200 ,<1000 , 1400,1200 ,1000 , 1500
Australia,<1000 ,<1000 , 1100,<1000 ,<1000 , 1100,1000 ,<1000 , 1200,1000 ,<1000 , 1200,1000 ,<1000 , 1200,1000 ,<1000 , 1200,1100 ,<1000 , 1200,1100 ,<1000 , 1300,1200 ,1000 , 1400,1300 ,1100 , 1400,1300 ,1200 , 1500,1400 ,1200 , 1600,1500 ,1300 , 1700,1600 ,1400 , 1800,1700 ,1500 , 1900,1800 ,1500 , 2000,1800 ,1600 , 2100,1900 ,1700 , 2200,2100 ,1800 , 2300,2200 ,1900 , 2400,2300 ,2000 , 2500,2400 ,2100 , 2700,2500 ,2200 , 2800,2600 ,2300 , 2900,2800 ,2400 , 3100,2900 ,2500 , 3200,3000 ,2700 , 3400,3200 ,2800 , 3500,3300 ,2900 , 3700
Austria,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Azerbaijan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
