Country,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper
Afghanistan,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<500 , 1100,<1000 ,<500 , 1300,<1000 ,<500 , 1500,<1000 ,<500 , 1600,<1000 ,<500 , 1700,<1000 ,<500 , 1900,<1000 ,<1000 , 2000,1000 ,<1000 , 2200,1100 ,<1000 , 2300,1200 ,<1000 , 2500,1400 ,<1000 , 2700,1600 ,<1000 , 2900,1700 ,1000 , 3100,1900 ,1200 , 3400,2100 ,1300 , 3600,2300 ,1400 , 3700,2500 ,1500 , 3800,2700 ,1600 , 3900,2800 ,1700 , 4100,3000 ,1800 , 4400,3300 ,1900 , 4700,3500 ,2100 , 5100,3800 ,2300 , 5600,4000 ,2400 , 6100,4300 ,2500 , 6600,4600 ,2500 , 7200,4900 ,2700 , 7900
Albania,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Algeria,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , 1100,1100 ,<1000 , 1200,1300 ,1100 , 1400,1400 ,1300 , 1600,1600 ,1500 , 1800,1800 ,1600 , 2000,2000 ,1800 , 2200,2300 ,2000 , 2500,2500 ,2300 , 2800,2900 ,2600 , 3100,3200 ,2900 , 3500,3600 ,3300 , 3900,4000 ,3600 , 4400,4400 ,4000 , 4900,4900 ,4400 , 5400,5500 ,4900 , 6000,6100 ,5400 , 6700,6600 ,5900 , 7300,7200 ,6400 , 7900,7700 ,6900 , 8500,8300 ,7500 , 9200
Angola,5500 ,3600 , 8700,6700 ,4500 , 10 000,8100 ,5700 , 12 000,9700 ,7000 , 14 000,11 000 ,8500 , 16 000,13 000 ,10 000 , 18 000,15 000 ,12 000 , 20 000,17 000 ,14 000 , 22 000,20 000 ,16 000 , 25 000,22 000 ,18 000 , 27 000,25 000 ,21 000 , 31 000,28 000 ,23 000 , 35 000,31 000 ,26 000 , 38 000,34 000 ,28 000 , 42 000,37 000 ,31 000 , 46 000,40 000 ,33 000 , 49 000,43 000 ,36 000 , 54 000,47 000 ,39 000 , 59 000,51 000 ,43 000 , 62 000,55 000 ,46 000 , 67 000,59 000 ,50 000 , 72 000,63 000 ,53 000 , 77 000,68 000 ,57 000 , 81 000,72 000 ,61 000 , 86 000,76 000 ,65 000 , 91 000,80 000 ,68 000 , 96 000,84 000 ,71 000 , 100 000,88 000 ,75 000 , 110 000,92 000 ,78 000 , 110 000
Antigua and Barbuda,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<200 ,<100 , <200,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <500,<200 ,<200 , <500,<500 ,<200 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <1000,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000
Argentina,13 000 ,11 000 , 15 000,16 000 ,14 000 , 19 000,20 000 ,17 000 , 22 000,23 000 ,19 000 , 26 000,26 000 ,22 000 , 30 000,29 000 ,24 000 , 33 000,32 000 ,27 000 , 37 000,34 000 ,29 000 , 40 000,37 000 ,31 000 , 42 000,39 000 ,33 000 , 46 000,42 000 ,36 000 , 49 000,45 000 ,38 000 , 52 000,48 000 ,41 000 , 55 000,51 000 ,44 000 , 58 000,54 000 ,46 000 , 61 000,57 000 ,49 000 , 64 000,59 000 ,52 000 , 68 000,62 000 ,54 000 , 71 000,65 000 ,57 000 , 74 000,68 000 ,59 000 , 77 000,71 000 ,62 000 , 80 000,74 000 ,65 000 , 83 000,77 000 ,67 000 , 86 000,80 000 ,70 000 , 89 000,83 000 ,73 000 , 93 000,85 000 ,75 000 , 96 000,88 000 ,78 000 , 98 000,91 000 ,80 000 , 100 000,93 000 ,83 000 , 100 000
Armenia,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<100 ,<100 , <500,<200 ,<100 , <500,<200 ,<200 , <500,<500 ,<200 , <1000,<500 ,<500 , <1000,<1000 ,<500 , 1100,<1000 ,<1000 , 1300,1100 ,<1000 , 1600,1300 ,<1000 , 1900,1600 ,1100 , 2100,1800 ,1300 , 2300,2000 ,1500 , 2500,2100 ,1700 , 2600,2100 ,1800 , 2700,2200 ,1800 , 2700,2200 ,1800 , 2700,2200 ,1800 , 2700,2200 ,1800 , 2700,2200 ,1800 , 2700,2200 ,1800 , 2600,2200 ,1900 , 2700,2200 ,1900 , 2700,2300 ,1900 , 2800,2300 ,1900 , 2800
Australia,8800 ,7400 , 10 000,9000 ,7500 , 11 000,9200 ,7600 , 11 000,9200 ,7600 , 11 000,9200 ,7600 , 11 000,9200 ,7500 , 11 000,9300 ,7600 , 11 000,9800 ,8100 , 12 000,10 000 ,8700 , 12 000,11 000 ,9300 , 13 000,12 000 ,9800 , 14 000,12 000 ,10 000 , 14 000,13 000 ,11 000 , 15 000,13 000 ,11 000 , 16 000,14 000 ,12 000 , 16 000,15 000 ,12 000 , 17 000,15 000 ,13 000 , 18 000,16 000 ,13 000 , 19 000,17 000 ,14 000 , 20 000,18 000 ,15 000 , 20 000,18 000 ,15 000 , 21 000,19 000 ,16 000 , 22 000,20 000 ,16 000 , 23 000,21 000 ,17 000 , 24 000,21 000 ,18 000 , 24 000,22 000 ,18 000 , 25 000,23 000 ,19 000 , 26 000,24 000 ,19 000 , 27 000,24 000 ,20 000 , 28 000
Austria,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Azerbaijan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
