Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Afghanistan,AFG,15.241,11.718,8.25,7.936,7.645,7.38,7.141,6.929,6.742,6.575,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Albania,ALB,5.985,5.914,6.841,6.915,6.996,7.096,7.219,7.367,7.534,7.714,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Algeria,DZA,6.207,4.961,4.656,4.67,4.685,4.699,4.709,4.715,4.717,4.717,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,American Samoa,ASM,..,..,..,..,..,..,4.2,..,..,..,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Andorra,AND,..,..,2.8,..,3.9,..,..,..,4.3,..,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Angola,AGO,19.555,18.036,11.68,11.039,10.451,9.921,9.454,9.052,8.716,8.432,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Antigua and Barbuda,ATG,6.98,6.216,6.055,6.085,6.116,6.151,6.188,6.227,6.27,6.316,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Argentina,ARG,8.163,7.845,7.708,7.694,7.68,7.665,7.651,7.638,7.626,7.616,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Armenia,ARM,8.473,8.575,9.739,9.753,9.761,9.774,9.796,9.823,9.849,9.862,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Aruba,ABW,7.059,6.971,7.918,8.061,8.205,8.347,8.488,8.627,8.765,8.907,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Australia,AUS,7,6.7,6.5,6.6,6.6,6.4,6.6,6.6,6.6,6.5,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Austria,AUT,10.8,9.6,9.2,9.1,9.4,9.4,9.2,9.6,9.2,9.5,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Azerbaijan,AZE,6.1,5.8,5.9,5.9,5.9,5.8,5.8,5.7,5.8,5.8,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,"Bahamas, The",BHS,5.592,5.831,6.566,6.606,6.634,6.651,6.661,6.671,6.689,6.72,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Bahrain,BHR,3.386,2.835,2.327,2.324,2.326,2.331,2.337,2.346,2.355,2.368,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Bangladesh,BGD,10.352,6.883,5.734,5.673,5.625,5.589,5.565,5.549,5.539,5.533,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Barbados,BRB,7.763,7.553,8.368,8.454,8.54,8.625,8.708,8.789,8.865,8.936,..,..
